CountryName,YearExclInfLab,Polyarchy,LibDem,ParticipDem,EgalDem,FreeFairElect,EqualAccess,CPIScore,CPIScoreRank,CPIScoreStdErr,EconIntelRating,SnPGloInsightsRating,WEFRating,InfLabYear,MaleInfLab,FemInfLab,TotInfLab
Mexico,2024,0.505,0.251,0.345,0.268,0.595,0.698,0.26,140,0.01664771,0.35,0.19,0.26,2024,55.641,55.703,55.666
Suriname,2024,0.768,0.637,0.497,0.575,0.863,0.804,0.4,88,0.056611760000000004,NA,0.32,NA,2016,56.358,45.678,52.108
Sweden,2024,0.881,0.845,0.63,0.795,0.947,0.921,0.8,8,0.024794689999999998,0.83,0.85,0.61,NA,NA,NA,NA
Switzerland,2024,0.894,0.847,0.794,0.83,0.944,0.92,0.81,5,0.01814915,0.83,0.72,0.76,NA,NA,NA,NA
Ghana,2024,0.669,0.567,0.32,0.455,0.666,0.722,0.42,80,0.01690387,0.51,0.46,0.33,2015,77.206,78.79,78.051
South Africa,2024,0.734,0.652,0.468,0.509,0.812,0.72,0.41,82,0.02432995,0.51,0.46,0.28,2024,35.107,34.648,34.901
Japan,2024,0.82,0.734,0.526,0.751,0.934,0.887,0.71,20,0.025757620000000002,0.67,0.72,0.95,NA,NA,NA,NA
Burma/Myanmar,2024,0.083,0.016,0.093,0.059,0,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russia,2024,0.172,0.056,0.121,0.12,0.144,0.237,0.22,154,0.01545293,0.18,0.19,NA,NA,NA,NA,NA
Albania,2024,0.507,0.396,0.309,0.367,0.487,0.657,0.42,80,0.03030323,0.35,0.32,0.71,NA,NA,NA,NA
Egypt,2024,0.186,0.129,0.079,0.112,0.147,0.545,0.3,130,0.03618536,0.35,0.32,0.63,2023,73.287,62.483,71.33
Yemen,2024,0.127,0.047,0.054,0.033,0,0.078,0.13,173,0.0171796,0.18,0.06,0.21,2014,77.05,82.169,77.407
Colombia,2024,0.701,0.557,0.477,0.423,0.762,0.631,0.39,92,0.02589917,0.51,0.46,0.29,2024,57.905,53.654,56.143
Poland,2024,0.729,0.616,0.487,0.633,0.764,0.901,0.53,53,0.018447869999999998,0.51,0.59,0.56,NA,NA,NA,NA
Brazil,2024,0.801,0.712,0.548,0.545,0.845,0.676,0.34,107,0.02413868,0.35,0.32,0.19,2024,37.952,34.586,36.504
United States of America,2024,0.84,0.748,0.599,0.609,0.908,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,2024,0.831,0.751,0.56,0.68,0.942,0.826,0.57,43,0.01628497,0.51,0.59,0.6,NA,NA,NA,NA
El Salvador,2024,0.339,0.092,0.2,0.134,0.325,0.418,0.3,130,0.01014181,0.35,0.32,0.23,2023,64.253,69.445,66.495
Bangladesh,2024,0.201,0.068,0.09,0.114,0.061,0.484,0.23,151,0.01464238,0.18,0.19,0.29,2023,78.077,95.766,84.185
Bolivia,2024,0.576,0.314,0.39,0.373,0.686,0.745,0.28,133,0.03101006,0.35,0.32,0.06,NA,NA,NA,NA
Haiti,2024,0.218,0.079,0.099,0.06,0,0.192,0.16,168,0.02134819,NA,0.19,NA,2012,89.252,94.71,91.607
Honduras,2024,0.541,0.382,0.327,0.272,0.401,0.594,0.22,154,0.01018556,0.18,0.19,0.14,2017,83.609,80.991,82.612
Mali,2024,0.199,0.147,0.176,0.197,0,0.802,0.27,135,0.02311731,NA,0.32,0.23,2022,94.243,97.418,95.416
Pakistan,2024,0.313,0.199,0.204,0.114,0.164,0.412,0.27,135,0.019857819999999998,0.18,0.32,0.33,2021,82.111,91.706,84.265
Peru,2024,0.634,0.493,0.416,0.369,0.852,0.707,0.31,127,0.02261391,0.35,0.32,0.22,2024,70.236,74.314,72.066
Senegal,2024,0.617,0.462,0.397,0.452,0.715,0.863,0.45,69,0.01411876,0.51,0.46,0.35,2022,93.703,96.98,95.1
South Sudan,2024,0.161,0.072,0.054,0.049,0,0.177,0.08,180,0.02091349,NA,0.06,NA,NA,NA,NA,NA
Sudan,2024,0.135,0.038,0.09,0.062,0,0.229,0.15,170,0.01904104,0.18,0.19,NA,2022,94.872,92.259,94.405
Vietnam,2024,0.174,0.124,0.157,0.189,0.514,0.544,0.4,88,0.01580397,0.35,0.46,0.53,NA,NA,NA,NA
Afghanistan,2024,0.081,0.016,0.012,0.025,0,0.062,0.17,165,0.05759683,NA,0.06,NA,2021,82.633,97.295,86.125
Argentina,2024,0.712,0.553,0.461,0.539,0.872,0.758,0.37,99,0.03013744,0.51,0.32,0.18,2023,50.789,50.011,50.445
Ethiopia,2024,0.263,0.098,0.135,0.161,0.341,0.515,0.37,99,0.01375359,0.35,0.46,NA,2021,83.582,87.446,85.212
India,2024,0.398,0.291,0.248,0.215,0.523,0.506,0.38,96,0.0132169,0.35,0.46,0.36,NA,NA,NA,NA
Kenya,2024,0.549,0.432,0.355,0.326,0.493,0.62,0.32,121,0.020812719999999996,0.18,0.32,0.2,2019,83.125,90.187,86.489
