"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2021",86.125,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2021",26.75,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2021",91.549,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2021",82.633,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2021",25.684,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2021",89.041,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2021",97.295,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2021",39.1,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2021",98.967,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2022",92.189,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2022",67.603,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2022",94.521,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2022",88.822,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2022",66.751,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2022",92.012,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2022",95.426,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2022",69.732,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2022",96.737,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2021",90.254,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2021",17.747,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2021",97.022,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2021",84.799,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2021",17.413,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2021",95.004,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2021",95.504,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2021",18.778,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2021",98.78,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2019",88.195,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2019",23.35,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2019",95.082,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2019",82.181,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2019",23.021,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2019",92.386,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2019",94.03,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2019",24.362,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2019",97.422,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2011",84.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2011",17.846,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2011",94.875,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2011",77.162,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2011",18.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2011",91.799,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2011",91.334,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2011",17.225,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2011",97.495,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2004",79.162,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2004",17.647,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2004",96.202,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2004",70.479,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2004",18.346,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2004",94.12,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2004",89.021,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2004",15.378,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2004",98.028,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2023",50.445,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2023",9.316,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2023",59.564,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2023",50.789,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2023",8.011,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2023",58.074,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2023",50.011,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2023",10.373,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2023",61.644,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2022",51.196,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2022",8.539,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2022",60.44,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2022",51.439,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2022",7.379,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2022",58.912,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2022",50.885,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2022",9.517,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2022",62.593,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2021",49.142,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2021",7.665,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2021",59.066,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2021",49.251,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2021",5.714,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2021",57.066,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2021",48.999,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2021",9.249,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2021",62.035,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2020",46.981,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2020",6.959,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Private","2020",56.608,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Total","2020",47.576,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Public","2020",6.904,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Male","Institutional sector: Private","2020",55.148,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Total","2020",46.216,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Public","2020",7.004,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Female","Institutional sector: Private","2020",58.694,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Total","2019",49.918,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex and public/private sector (%)","Total","Institutional sector: Public","2019",7.995,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
